country,highest_education,title,pay_usd
Ukraine,Master’s degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
"Korea, Rep.",Bachelor’s degree,Software Engineer,"20-30,000"
Russian Federation,Doctoral degree,Data Scientist,"30-40,000"
Netherlands,Doctoral degree,Data Scientist,"60-70,000"
Poland,Bachelor’s degree,Other,"0-10,000"
France,Doctoral degree,Research Scientist,"150-200,000"
Germany,Master’s degree,Data Scientist,"50-60,000"
United States,Master’s degree,Software Engineer,"90-100,000"
China,Master’s degree,Student,"0-10,000"
Australia,Doctoral degree,Statistician,"80-90,000"
United Kingdom,Bachelor’s degree,Data Scientist,"30-40,000"
United States,Doctoral degree,Not employed,
"Hong Kong SAR, China",Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Analyst,"0-10,000"
Germany,Doctoral degree,Data Scientist,"90-100,000"
United Kingdom,Master’s degree,Data Scientist,"60-70,000"
Italy,Doctoral degree,Product/Project Manager,"30-40,000"
South Africa,Master’s degree,Data Analyst,"30-40,000"
Turkey,Doctoral degree,Research Scientist,"10-20,000"
Czech Republic,Master’s degree,Research Scientist,"50-60,000"
Denmark,Master’s degree,Software Engineer,"40-50,000"
Russian Federation,Master’s degree,Other,"10-20,000"
Denmark,Doctoral degree,Research Scientist,"50-60,000"
Germany,Bachelor’s degree,Student,"0-10,000"
Pakistan,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Spain,Master’s degree,Salesperson,I do not wish to disclose my approximate yearly compensation
Turkey,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Germany,Bachelor’s degree,Student,"0-10,000"
Ukraine,Master’s degree,Research Scientist,"0-10,000"
India,Bachelor’s degree,Software Engineer,"10-20,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Malaysia,Doctoral degree,Software Engineer,"0-10,000"
Germany,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Consultant,"30-40,000"
Russian Federation,Master’s degree,DBA/Database Engineer,"40-50,000"
Germany,Master’s degree,Software Engineer,"150-200,000"
Poland,Master’s degree,Business Analyst,"20-30,000"
Spain,Master’s degree,Data Scientist,"50-60,000"
Japan,Master’s degree,Data Analyst,"50-60,000"
United Kingdom,Bachelor’s degree,Other,"40-50,000"
Spain,Master’s degree,Software Engineer,"30-40,000"
India,Bachelor’s degree,Data Engineer,"0-10,000"
United Kingdom,Doctoral degree,Statistician,"40-50,000"
Germany,Doctoral degree,Software Engineer,"80-90,000"
Kenya,Bachelor’s degree,Software Engineer,"10-20,000"
Kenya,Master’s degree,Data Scientist,"50-60,000"
China,Master’s degree,Student,"0-10,000"
United Kingdom,Master’s degree,Consultant,"40-50,000"
France,Master’s degree,Data Engineer,"0-10,000"
Russian Federation,Doctoral degree,Research Scientist,"30-40,000"
Sweden,Doctoral degree,Not employed,
Australia,Bachelor’s degree,Data Analyst,"100-125,000"
Vietnam,Bachelor’s degree,Student,"0-10,000"
Norway,Some college/university study without earning a bachelor’s degree,Chief Officer,"100-125,000"
Japan,Master’s degree,Software Engineer,"50-60,000"
Italy,Doctoral degree,Data Scientist,"20-30,000"
Italy,Master’s degree,Student,"0-10,000"
India,Master’s degree,Statistician,"0-10,000"
Netherlands,Master’s degree,Data Analyst,"50-60,000"
Turkey,Professional degree,Statistician,"0-10,000"
"Egypt, Arab Rep.",Master’s degree,Data Scientist,"10-20,000"
France,Professional degree,Data Analyst,"30-40,000"
France,Master’s degree,Other,"40-50,000"
Turkey,Doctoral degree,Research Scientist,"50-60,000"
New Zealand,Master’s degree,Data Scientist,"70-80,000"
Spain,Master’s degree,Data Engineer,"20-30,000"
Spain,Master’s degree,Other,"0-10,000"
Germany,Master’s degree,Consultant,"80-90,000"
Russian Federation,Master’s degree,Data Scientist,"10-20,000"
Turkey,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Russian Federation,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
Germany,Doctoral degree,Data Scientist,"60-70,000"
Ukraine,No formal education past high school,Research Scientist,"0-10,000"
Sweden,Doctoral degree,Data Scientist,"40-50,000"
France,Master’s degree,Software Engineer,
Germany,Master’s degree,Research Assistant,"50-60,000"
United States,Master’s degree,Not employed,
United Kingdom,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
"Iran, Islamic Rep.",Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Belgium,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United Kingdom,Doctoral degree,Data Scientist,"60-70,000"
Russian Federation,Master’s degree,Other,"10-20,000"
Russian Federation,Master’s degree,Chief Officer,"0-10,000"
Ukraine,Master’s degree,Software Engineer,"40-50,000"
France,Bachelor’s degree,Business Analyst,"50-60,000"
Tunisia,Professional degree,Data Scientist,"0-10,000"
Turkey,Bachelor’s degree,Data Scientist,"10-20,000"
Norway,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Research Assistant,"90-100,000"
China,Master’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
Philippines,Bachelor’s degree,Data Scientist,"20-30,000"
Russian Federation,Master’s degree,Other,"0-10,000"
Australia,Master’s degree,Research Scientist,"70-80,000"
Denmark,Doctoral degree,Data Scientist,"70-80,000"
Italy,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,"0-10,000"
Kenya,Doctoral degree,Data Engineer,"50-60,000"
Russian Federation,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
South Africa,Master’s degree,Other,"40-50,000"
Spain,Doctoral degree,Research Scientist,"20-30,000"
France,Doctoral degree,Research Scientist,
Canada,Master’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
Germany,Doctoral degree,Research Scientist,"60-70,000"
"Egypt, Arab Rep.",Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Software Engineer,"30-40,000"
Malaysia,Professional degree,Other,"0-10,000"
Netherlands,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
United Kingdom,Master’s degree,Software Engineer,"90-100,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Poland,Master’s degree,Business Analyst,
United Kingdom,Master’s degree,Software Engineer,"90-100,000"
Netherlands,Bachelor’s degree,Software Engineer,"0-10,000"
Finland,Doctoral degree,Software Engineer,"50-60,000"
Switzerland,Master’s degree,Marketing Analyst,"90-100,000"
"Iran, Islamic Rep.",Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
France,Master’s degree,Chief Officer,"40-50,000"
Japan,Master’s degree,Data Scientist,"40-50,000"
Russian Federation,Master’s degree,Software Engineer,"0-10,000"
Japan,Bachelor’s degree,Other,"70-80,000"
Spain,Professional degree,Data Analyst,"20-30,000"
Germany,Master’s degree,Data Scientist,"60-70,000"
Denmark,Master’s degree,Research Assistant,"50-60,000"
Germany,Bachelor’s degree,Data Analyst,"40-50,000"
Switzerland,Doctoral degree,Software Engineer,"100-125,000"
Russian Federation,Doctoral degree,Data Scientist,"20-30,000"
Kenya,Bachelor’s degree,Other,
France,Master’s degree,Research Scientist,"20-30,000"
Nigeria,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Nigeria,Master’s degree,Salesperson,"0-10,000"
Nigeria,Master’s degree,Not employed,
Israel,Master’s degree,Data Scientist,"80-90,000"
Hungary,Master’s degree,Manager,"20-30,000"
Sweden,Some college/university study without earning a bachelor’s degree,Consultant,"100-125,000"
Italy,Master’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
Russian Federation,Doctoral degree,Research Scientist,"10-20,000"
United States,Master’s degree,Data Scientist,"150-200,000"
Germany,I prefer not to answer,Software Engineer,"70-80,000"
Portugal,Doctoral degree,Research Scientist,"10-20,000"
United Kingdom,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
United Kingdom,Doctoral degree,Research Scientist,"40-50,000"
France,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Nigeria,Bachelor’s degree,Software Engineer,"0-10,000"
Kenya,Master’s degree,DBA/Database Engineer,"40-50,000"
Morocco,Doctoral degree,Student,"0-10,000"
Italy,Bachelor’s degree,Student,"0-10,000"
Netherlands,Master’s degree,Data Scientist,"40-50,000"
Norway,Master’s degree,Software Engineer,"70-80,000"
Russian Federation,Master’s degree,DBA/Database Engineer,"10-20,000"
China,Master’s degree,Data Scientist,"500,000+"
Nigeria,Bachelor’s degree,Other,"0-10,000"
Nigeria,Master’s degree,Not employed,
Ukraine,Professional degree,Data Analyst,"20-30,000"
Netherlands,Master’s degree,Software Engineer,"50-60,000"
Israel,Master’s degree,Research Assistant,"10-20,000"
Ukraine,Bachelor’s degree,Not employed,
Japan,I prefer not to answer,Other,"50-60,000"
China,Master’s degree,Student,"0-10,000"
France,Doctoral degree,Research Assistant,"40-50,000"
Romania,Master’s degree,Software Engineer,"20-30,000"
Nigeria,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Master’s degree,Not employed,
Greece,Master’s degree,Student,"0-10,000"
United States,Master’s degree,Not employed,
Sweden,Doctoral degree,Student,"30-40,000"
Germany,Master’s degree,Data Scientist,"40-50,000"
United Kingdom,Professional degree,Other,"80-90,000"
United States,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
Germany,Master’s degree,Software Engineer,"100-125,000"
Norway,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Ukraine,Master’s degree,Other,"0-10,000"
France,Doctoral degree,Research Scientist,"30-40,000"
Ukraine,Doctoral degree,Research Scientist,"0-10,000"
United Kingdom,Bachelor’s degree,Product/Project Manager,"80-90,000"
France,Master’s degree,Software Engineer,"50-60,000"
Russian Federation,Doctoral degree,Research Scientist,"10-20,000"
Denmark,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Germany,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
"Iran, Islamic Rep.",Doctoral degree,Research Scientist,"0-10,000"
Italy,Doctoral degree,Data Scientist,"50-60,000"
Japan,Master’s degree,Other,"50-60,000"
Spain,Bachelor’s degree,Software Engineer,"0-10,000"
Czech Republic,Master’s degree,Data Analyst,"30-40,000"
Sweden,I prefer not to answer,Manager,"100-125,000"
Singapore,Doctoral degree,Data Scientist,"40-50,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United Kingdom,Master’s degree,Consultant,"50-60,000"
Netherlands,Master’s degree,Data Analyst,"20-30,000"
Japan,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Manager,"0-10,000"
Singapore,Master’s degree,Data Scientist,"10-20,000"
United Kingdom,Master’s degree,Data Scientist,"60-70,000"
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
United Kingdom,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Indonesia,Bachelor’s degree,Data Analyst,"0-10,000"
United Kingdom,Doctoral degree,Data Scientist,"150-200,000"
"Iran, Islamic Rep.",Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Business Analyst,"30-40,000"
Bangladesh,Bachelor’s degree,Research Assistant,"0-10,000"
China,Master’s degree,Student,"0-10,000"
Ukraine,Master’s degree,Data Analyst,"50-60,000"
India,Bachelor’s degree,Not employed,
Spain,Bachelor’s degree,Developer Advocate,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
